Paket,Sequenz,Delta (ms),Jitter (ms),Versatz,Bandbreite
489,0,0,0,0,10.384
490,1,0.01880899999741814,0.0011755624998386338,-0.01880899999741814,20.544
491,2,0.008004999999684514,0.0016024023435790014,-0.026813999997102655,30.928
492,3,0.007065000001603039,0.0019438146972055037,-0.033878999998705694,41.328
493,4,0.0072680000012042,0.0022765762787054222,-0.041146999999909895,51.728
494,5,0.007091999999829568,0.0025775402612756813,-0.04823899999973946,62.128
495,6,0.007154999999329448,0.0028636314949040415,-0.05539399999906891,72.528
496,7,0.006855999999970663,0.0031131545264707055,-0.062249999999039574,82.928
497,8,0.006730999997671461,0.0033392698684207526,-0.06898099999671103,92.344
517,9,79.21138800000335,0.05241881550143488,0.7196309999999357,100.256
522,10,39.57040699999925,0.07599220203264209,1.149224000000686,105.072
542,11,80.28427899999951,0.08901012690557164,0.8649450000011711,108.704
553,12,79.91641199999867,0.08867124397405639,0.9485330000024987,114.624
554,13,0.019723000001249602,0.08436197872575596,0.9288100000012491,118.968
559,14,40.5946729999996,0.11625641755537136,0.3341370000016468,129.352
560,15,0.03455799999937881,0.11115026645812183,0.299579000002268,137.08
561,16,0.015790000001288718,0.10519024980456976,0.2837890000009793,141.456
571,17,80.55060799999774,0.13302885919164273,-0.26681899999675807,151.84
572,18,0.022757000002457062,0.12613686799231863,-0.28957599999921513,158.368
573,19,0.009778999999980442,0.11886450124279749,-0.29935499999919557,168.752
574,20,0.008843999999953667,0.11198821991511974,-0.30819899999914924,179.152
575,21,0.008474999998725252,0.1055186436703451,-0.3166739999978745,189.552
576,22,0.008509999999660067,0.09945560344092728,-0.32518399999753456,199.952
577,23,0.008432000002358109,0.09376662822601671,-0.33361599999989267,209.28
592,24,79.94548699999723,0.09131327646206386,-0.2791029999971215,215.696
593,25,0.03453300000182935,0.0877645091832992,-0.31363599999895087,226.08
594,26,0.020507000001089182,0.08356091485941107,-0.33414300000004005,236.48
595,27,0.01706999999805703,0.07940523268057645,-0.3512129999980971,246.88
596,28,0.016320999999152264,0.07546246813798743,-0.36753399999724934,257.28
597,29,0.01654400000188616,0.0717800638794811,-0.3840779999991355,263.392
603,30,39.21178199999849,0.11655743488710771,0.4041400000023714,273.776
604,31,0.01887400000123307,0.11045222020674055,0.3852660000011383,280.328
620,32,79.68172499999855,0.12344114394390984,0.7035410000025877,290.712
621,33,0.03208000000086031,0.11773107244746925,0.6714610000017274,293.976
622,34,0.00853099999949336,0.11090606791947076,0.662930000002234,302.04
623,35,0.006058999999368098,0.10435312617446435,0.6568710000028659,312.424
624,36,0.006185000002005836,0.09821761828868569,0.6506860000008601,317.512
625,37,0.006272999999055173,0.09247107964558379,0.6444130000018049,327.896
626,38,0.005843999999342486,0.0870568871676937,0.6385690000024624,332.072
627,39,0.005911000000196509,0.08198526921972513,0.6326580000022659,337.432
644,40,79.39238100000148,0.11483737739339991,1.2402770000007877,347.816
645,41,0.010985000000800937,0.10834660380636248,1.2292919999999867,353.976
646,42,0.005149999997229315,0.10189681606829165,1.2241420000027574,359.72
653,43,40.15908900000068,0.10547132756406571,1.0650530000020808,370.104
654,44,0.012434000000212109,0.09965649459132486,1.0526190000018687,371.256
655,45,0.005646000001434004,0.09378083867945669,1.0469730000004347,373.224
672,46,80.54276299999765,0.1218422237618437,0.5042100000027858,383.608
673,47,0.020947000000887783,0.11553627227678395,0.48326300000189804,386.296
674,48,0.010263000000122702,0.10895669275949263,0.47300000000177533,396.68
675,49,0.008879000000888482,0.10270183696207986,0.46412100000088685,398.672
690,50,80.16694199999984,0.10671684715193959,0.29717900000105146,407.792
691,51,0.02562000000034459,0.1016482942049649,0.2715590000007069,418.176
692,52,0.016716999998607207,0.09634008831706756,0.25484200000209967,424.16
693,53,0.015346000000135973,0.09127795779725933,0.2394960000019637,430.288
694,54,0.012542000000394182,0.08635696043495526,0.2269540000015695,435.704
699,55,39.41816900000049,0.11732408790773999,0.8087850000010803,446.088
700,56,0.027271999999356922,0.11169583241346605,0.7815130000017234,449.352
701,57,0.011579000001802342,0.10543853038773707,0.7699339999999211,459.736
702,58,0.009845999997196486,0.09946399723832829,0.7600880000027246,461.648
716,59,79.86822600000232,0.10148337241078756,0.8918620000004012,472.032
717,60,0.012167999997473089,0.0959011616349554,0.8796940000029281,482.432
718,61,0.005311000000801869,0.09023927653282081,0.8743830000021262,492.832
719,62,0.004699000000982778,0.08489300924958093,0.8696840000011434,503.232
720,63,0.004560000001220033,0.07987219617155837,0.8651239999999234,513.632
721,64,0.004563999998936197,0.07516543391076949,0.8605600000009872,523.864
738,65,79.96270799999911,0.07279834429140196,0.8978520000018761,441.904
739,66,0.02022700000088662,0.06951263527324475,0.8776250000009895,452.304
740,67,0.009221000000252388,0.06574440806868273,0.8684040000007371,462.704
741,68,0.008246999997936655,0.0621508200642611,0.8601570000028005,473.104
742,69,0.008519000002706889,0.05879883131041396,0.8516380000000936,483.504
743,70,0.008440999998128973,0.05565146685339615,0.8431970000019646,493.904
744,71,0.0083809999996447,0.05269706267503668,0.8348160000023199,504.304
745,72,0.008193000001483597,0.04991555875793961,0.8266230000008363,514.704
746,73,0.008213999997678911,0.04730921133542332,0.8184090000031574,524.264
754,74,40.286755000000994,0.0622745731270215,0.5316540000021632,521.92
755,75,0.015191000002232613,0.059331849806722195,0.5164629999999306,524.064
756,76,0.006296999999904074,0.05601717169379606,0.5101660000000265,534.448
757,77,0.004929999999149004,0.05282422346288062,0.5052360000008775,539.376
758,78,0.005014999998820713,0.049836146996376875,0.5002210000020568,549.76
759,79,0.005071999999927357,0.04703838780909878,0.49514900000212947,554.752
760,80,0.004991000001609791,0.04441042607113072,0.4901580000005197,565.136
761,81,0.0049980000003415626,0.0419471494417064,0.4851600000001781,571.024
762,82,0.005363000000215834,0.039660640101613236,0.4797969999999623,581.408
763,83,0.0050209999972139485,0.03749566259508828,0.47477600000274833,590.944
764,84,0.0049140000010083895,0.03545930868295829,0.46986200000173994,595.84
781,85,89.25689000000057,0.07968747689023796,1.212972000001173,602.592
782,86,0.016969000000244705,0.07576757208461338,1.1960030000009283,612.992
783,87,0.006898999999975786,0.07146328632932353,1.1891040000009525,615.504
800,88,70.74079100000017,0.11329626843375157,0.44831300000078045,612.36
801,89,0.02130599999873084,0.10754687665656278,0.4270070000020496,622.744
802,90,0.00989300000219373,0.10144350936566471,0.4171139999998559,631.416
803,91,0.00885299999936251,0.09565660253027082,0.40826100000049337,636.936
804,92,0.008495999998558545,0.09020906487203881,0.3997650000019348,638.848
820,93,39.818208000000595,0.09593299831749917,0.5815570000013395,649.232
821,94,0.016517000000021653,0.09096949842265682,0.5650400000013178,659.632
822,95,0.006508999998914078,0.0856907172711729,0.5585310000024037,670.032
823,96,0.005507000001671258,0.08067923494182905,0.5530240000007325,680.432
824,97,0.00558199999795761,0.07598565775783708,0.5474420000027749,690.832
825,98,0.005621000000246568,0.07158786664798768,0.5418210000025283,701.232
826,99,0.005528000001504552,0.06745912498258248,0.5362930000010238,711.632
827,100,0.005549999998038402,0.06358980467104848,0.5307430000029854,712.712
839,101,80.912518000001,0.11664781687917047,-0.3817749999980151,632.784
840,102,0.013136000001395587,0.11017832832430954,-0.3949109999994107,636.528
841,103,0.005521999999473337,0.10363730780400728,-0.40043299999888404,646.912
842,104,0.004842999998800224,0.09746266356618183,-0.40527599999768427,652.016
843,105,0.0043970000006083865,0.0916460595933335,-0.40967299999829265,662.4
844,106,0.004681999998865649,0.08621080586867925,-0.4143549999971583,668.896
845,107,0.004435000002558809,0.08109981800204673,-0.4187899999997171,679.28
846,108,0.00452699999732431,0.07631401687675157,-0.4233169999970414,680.76
863,109,79.32366600000023,0.11381526582194021,0.2530170000027283,691.144
864,110,0.02850400000170339,0.1084833117081754,0.22451300000102492,692.184
865,111,0.01643799999874318,0.1027304797263359,0.20807500000228174,702.568
866,112,0.014914999999746215,0.09724201224342403,0.19316000000253553,712.84
867,113,0.013247999999293825,0.09199238647816589,0.1799120000032417,714.848
883,114,80.70644000000175,0.1303953623233898,-0.5265279999985069,654.184
884,115,0.027460000001156004,0.12396190217825019,-0.5539879999996629,662.456
885,116,0.015164999997068662,0.11716209579192635,-0.5691529999967315,672.84
886,117,0.013386000002356013,0.1106760898050782,-0.5825389999990875,681.128
887,118,0.013789000000542728,0.10462064669229473,-0.5963279999996303,691.512
888,119,0.013338000000658212,0.09891548127406745,-0.6096660000002885,698.44
889,120,0.01312599999801023,0.09355363869431388,-0.6227919999982987,704.248
890,121,0.013601999999082182,0.0885566612758619,-0.6363939999973809,713.36
903,122,38.9842630000021,0.14650543244598918,0.37934300000051735,666.64
904,123,0.025093000000197208,0.1389171554181272,0.35425000000032014,671.984
905,124,0.011278999998467043,0.13093977070439844,0.3429710000018531,682.368
906,125,0.009372000000439584,0.12334178503540101,0.3335990000014135,691.184
907,126,0.009368999999423977,0.11621848597065244,0.32423000000198954,701.568
908,127,0.009654000001319218,0.10955820559756911,0.3145760000006703,711.968
909,128,0.00983999999880325,0.10332581774764625,0.30473600000186707,712.808
928,129,89.12501100000009,0.151554766638413,1.1797250000017812,700.904
929,130,0.013574000000517117,0.1429309687235445,1.166151000001264,708.184
930,131,0.019444999998086132,0.13521309567820333,1.146706000003178,718.568
931,132,0.00597600000037346,0.12713577719833896,1.1407300000028044,720.712
945,133,40.87253300000157,0.17372310362354074,0.26819700000123703,717.592
946,134,0.023240999998961342,0.16431797214700453,0.2449560000022757,723.864
947,135,0.011054999999032589,0.15473903638775627,0.2339010000032431,734.248
948,136,0.009955000001355074,0.1456900341136062,0.22394600000188802,744.648
949,137,0.009797999999136664,0.13719678198145185,0.21414800000275136,755.048
950,138,0.010100999999849591,0.1292532956076017,0.20404700000290177,765.448
951,139,0.010030000001279404,0.12180183963220656,0.19401700000162236,768.96
965,140,70.39103199999954,0.13862872465516496,-0.1970149999979185,751
966,141,0.03589999999894644,0.1322081793641513,-0.23291499999686494,761.384
967,142,0.013676000002305955,0.12479991815403596,-0.2465909999991709,771.784
968,143,0.011469000000943197,0.11771673576946766,-0.2580600000001141,782.184
969,144,0.011173999999300577,0.11105781478383221,-0.26923399999941466,785.216
982,145,79.43007299999954,0.13973713885987155,0.30069300000104704,795.6
983,146,0.02829099999871687,0.1327717551810494,0.27240200000233017,791.808
984,147,0.00972399999955087,0.12508127048220574,0.2626780000027793,790.096
985,148,0.00806400000146823,0.11776769107715965,0.25461400000131107,794.496
986,149,0.007841999999072868,0.11089733538477922,0.2467720000022382,804.896
987,150,0.008153999999194639,0.10447587692318018,0.23861800000304356,807.448
1005,151,80.72454199999993,0.14323000961547694,-0.48592399999688496,786.472
1006,152,0.03904500000135158,0.1367184465145941,-0.5249689999982365,790.888
1007,153,0.013216999999713153,0.12899960610741404,-0.5381859999979497,801.272
1008,154,0.011276000001089415,0.12164188072576874,-0.5494619999990391,811.528
1009,155,0.01144199999907869,0.11475438818035062,-0.5609039999981178,821.912
1010,156,0.011000999998941552,0.10826980141901256,-0.5719049999970593,824.984
1011,157,0.010917999999946915,0.10218531383032095,-0.5828229999970063,829.672
1020,158,39.684219000002486,0.11553504421577053,-0.26704199999949196,777.84
1021,159,0.027635999998892657,0.11004135395221566,-0.2946779999983846,782.736
1022,160,0.012941000000864733,0.10397258183025623,-0.30761899999924935,793.12
1023,161,0.011379999999917345,0.09818554546586006,-0.3189989999991667,800.144
1024,162,0.015461999999388354,0.09301532387420558,-0.33446099999855505,804.224
1043,163,78.39037599999938,0.1878033661321066,1.2751630000020668,812.784
1044,164,0.011367999999492895,0.17677615574881825,1.263795000002574,823.168
1045,165,0.005221999999776017,0.16605402101450312,1.258573000002798,826.864
1046,166,0.0043500000028871,0.15594751970127713,1.2542229999999108,837.248
1047,167,0.0046229999970819335,0.14648973721976494,1.249600000002829,847.648
1048,168,0.0045470000004570466,0.13761831614355818,1.2450530000023718,858.048
1049,169,0.0044890000026498456,0.1292977338847514,1.240563999999722,860.024
1066,170,81.70453999999881,0.22775037551688038,-0.4639759999990929,693.36
1067,171,0.051869999999325955,0.21675785204703324,-0.5158459999984188,703.76
1068,172,0.02152399999977206,0.20455573629407942,-0.5373699999981909,714.16
1069,173,0.014631000001827488,0.19268544027581366,-0.5520010000000184,724.56
1070,174,0.017103999998653308,0.18171160025849115,-0.5691049999986717,730.48
