Packet,Sequence,Delay,Jitter,Skew,Bandwidth
6055,1933,0.00788499999907799,0.0990984182767113,35.94318999999814,1077.744
6056,1934,0.007888000000093598,0.09339776713442269,35.935301999998046,1086.776
6079,1935,80.0484690000012,0.0905897191885966,35.88683299999684,1050.96
6080,1936,0.017227999996975996,0.0860046117391203,35.869604999999865,1061.344
6081,1937,0.008760000000620494,0.08117682350546407,35.86084500000288,1071.728
6082,1938,0.007591000001411885,0.07657770953646081,35.85325400000147,1082.112
6083,1939,0.00756099999853177,0.07226416519034025,35.84569300000294,1086.28
6099,1940,79.94682699999976,0.07107096736595915,35.89886600000318,900.424
6100,1941,0.023361999999906402,0.06808915690558086,35.875504000003275,910.808
6101,1942,0.007128000001102919,0.06427908459905099,35.868375999998534,921.192
6102,1943,0.0062719999987166375,0.060653641811530094,35.86210399999982,931.576
6103,1944,0.006411000002117362,0.0572634766984418,35.8556929999977,941.96
6104,1945,0.0065279999980703,0.05409250940466858,35.84916499999963,952.344
6105,1946,0.006221999999979744,0.05110060256687553,35.84294300000329,957.672
6122,1947,38.83948000000237,0.1204393149062978,37.00346300000092,968.056
6123,1948,0.011275999997451436,0.1136166077244949,36.99218700000347,978.44
6124,1949,0.005055000001448207,0.10683150724180449,36.98713200000202,988.824
6125,1950,0.004466999998840038,0.10043372553911921,36.98266500000318,999.208
6126,1951,0.0043550000009418,0.09442880519298312,36.9783099999986,1009.592
6127,1952,0.004530999998678453,0.08881019236833908,36.97377899999992,1019.976
6128,1953,0.004298000003473135,0.08352818034553496,36.96948100000009,1024.832
6143,1954,83.35882700000002,0.28823435657394025,33.61065399999643,868.984
6144,1955,0.030548999999155058,0.2721290217880162,33.58010500000091,879.368
6145,1956,0.015911999998934334,0.25611545792619855,33.56419299999834,889.752
6146,1957,0.014122000000497792,0.24099086680584225,33.55007099999784,900.136
6147,1958,0.013794999998935964,0.2267911251304106,33.53627599999891,910.52
6148,1959,0.013781000001472421,0.21347799230985198,33.522494999997434,920.904
6149,1960,0.013373999998293584,0.20097149279037957,33.50912100000278,924.224
6162,1961,78.80387800000244,0.26316839949082826,34.7052429999967,915.112
6163,1962,0.025243000000045868,0.24829806202265436,34.68000000000029,925.496
6164,1963,0.012183999999251682,0.2335409331461917,34.66781600000104,935.88
6165,1964,0.010376999998698011,0.21959318732447336,34.65743900000234,946.264
6166,1965,0.010514000001421664,0.20652573811678263,34.64692500000092,956.648
6167,1966,0.010162999999010935,0.1942530669844219,34.63676200000191,967.032
6168,1967,0.01007499999832362,0.18274193779779077,34.626687000003585,976.064
6174,1968,37.79226100000233,0.3093042541852834,36.83442600000126,986.448
6175,1969,0.0188239999988582,0.2911492382986318,36.8156020000024,996.832
6176,1970,0.00632699999914621,0.273347848404914,36.809274999999616,1007.216
6177,1971,0.005618999999569496,0.25661479537958,36.803656000003684,1017.6
6178,1972,0.005444000002171379,0.24091662066849195,36.79821200000151,1027.984
6179,1973,0.005397000000812113,0.22619664437676196,36.7928150000007,1038.368
6180,1974,0.005499999999301508,0.21240310410317068,36.7873150000014,1048.752
6181,1975,0.0053349999980127905,0.1994613475965983,36.78197999999975,1059.136
6182,1976,0.0053910000024188776,0.18733195087196208,36.77658900000097,1064.288
6195,1977,80.18239499999981,0.1870233914424529,36.594193999997515,1051.824
6196,1978,0.01557400000092457,0.17630780447735736,36.57862000000023,1062.208
6197,1979,0.007570999998279149,0.16576175419741498,36.57104899999831,1072.592
6198,1980,0.006325999998807674,0.15579701956000203,36.56472300000314,1078.688
6219,1981,81.04184200000236,0.21117483083764949,35.52288099999714,1042.448
6220,1982,0.027646999998978572,0.19970434141023255,35.4952340000018,1052.832
6221,1983,0.011117000001831912,0.1879176325722075,35.48411699999997,1063.216
6222,1984,0.009318999997049104,0.1767552180362601,35.47479800000292,1073.6
6223,1985,0.00921100000050501,0.1662837044090254,35.46558699999878,1083.984
6224,1986,0.009591000001819339,0.15649041038357503,35.45599599999696,1092.336
6236,1987,39.69411899999977,0.16582732223461577,35.761876999997185,981.088
6237,1988,0.011126999997941311,0.15615855209482363,35.75074999999924,991.472
6238,1989,0.005271000001812354,0.14672808008901042,35.74547899999743,1001.856
6239,1990,0.004609999999956926,0.13784570008344457,35.74086900000111,1012.24
6240,1991,0.004536000000371132,0.12951384382825248,35.73633300000074,1022.624
6241,1992,0.004562999998597661,0.12170441608889906,35.731769999998505,1033.008
6242,1993,0.0044410000009520445,0.11437545258340237,35.72732900000119,1043.392
6243,1994,0.004512999999860767,0.10750904929693102,35.72281600000133,1047.784
6263,1995,79.93007899999793,0.1051597962160021,35.7927370000034,998.272
6264,1996,0.012860000002547167,0.09939105895266118,35.77987700000085,1008.656
6265,1997,0.005101999999169493,0.09349799276806794,35.774774999998044,1019.04
6266,1998,0.004443999998329673,0.0879321182199593,35.770330999999715,1029.424
6267,1999,0.004656000000977656,0.08272736083127295,35.765675000002375,1036.168
6282,2000,78.84800100000211,0.14955683827918628,36.91767399999662,924.16
6283,2001,0.012201999998069368,0.1409721608866165,36.905471999998554,934.544
6284,2002,0.005965000000287546,0.13253421333122092,36.899507000001904,944.928
6285,2003,0.005163999998330837,0.1245735749979153,36.894342999999935,944.928
6286,2004,0.005358000002161134,0.11712260156068066,36.888984999997774,944.928
6287,2005,0.005556000000069616,0.11014968896314248,36.88342900000134,944.928
6288,2006,0.012355999999272171,0.10403758340290059,36.87107300000207,948.784
6289,2007,0.023300000000745058,0.09899148444026587,36.847773000001325,956.224
6298,2008,41.002941999999166,0.15548839166269712,35.84483100000216,966.608
6299,2009,0.019460999999864725,0.1469866796837701,35.82536999999866,976.992
6300,2010,0.008763000001636101,0.13834769970363672,35.81660700000066,987.376
6301,2011,0.007453999998688232,0.13016684347207744,35.80915300000197,997.76
6302,2012,0.007069999999657739,0.1224732907550512,35.80208300000231,1008.144
6303,2013,0.00696099999913713,0.11525377258280657,35.795122000003175,1018.528
6304,2014,0.0075620000025082845,0.10852303679653792,35.78755999999703,1028.912
6305,2015,0.006940999999642372,0.10217415949673195,35.78061899999739,1039.296
6306,2016,0.007506999998440733,0.09625746202808874,35.773112000002584,1049.68
6307,2017,0.007201000000350177,0.09069143315135508,35.765911000002234,1060.064
6308,2018,0.007281000001967186,0.08547828107951834,35.75862999999663,1070.448
6309,2019,0.007181999997555977,0.0805847635118957,35.75144800000271,1078.136
6323,2020,81.87775200000033,0.19290771579242272,33.87369600000238,1015.632
6324,2021,0.02331400000184658,0.18230810855551172,33.8503819999969,1026.016
6325,2022,0.010774999998830026,0.17158728927071912,33.839607000001706,1036.4
6326,2023,0.009780000000318978,0.1614743336913191,33.82982700000139,1046.784
6327,2024,0.00962000000072294,0.15198343783565685,33.820206999997026,1057.168
6328,2025,0.009837999998126179,0.14309934797081117,33.8103689999989,1067.552
6329,2026,0.009550999999191845,0.13475257622258496,33.800818000003346,1077.936
6330,2027,0.017482000002928544,0.12742316520885644,33.78333600000042,1088.32
6331,2028,0.009975999997550389,0.12008271738314981,33.77335999999923,1098.704
6332,2029,0.009546000001137145,0.11317417254677402,33.76381399999809,1109.088
6333,2030,0.00933900000018184,0.106684474262612,33.75447500000155,1119.472
6334,2031,0.01033599999936996,0.10066269462115937,33.74413900000218,1129.856
6335,2032,0.00962200000140001,0.09497265120742442,33.73451699999714,1140.24
6336,2033,0.009308000000601169,0.08961861050699796,33.72520899999654,1150.624
