Paket,Sequenz,Delta (ms),Jitter (ms),Versatz,Bandbreite
188,1,0,0,0,1.76
191,2,11.490376000000651,0.5318514999999593,8.509623999999349,3.52
193,3,4.6698859999996785,1.456742906249982,23.83973799999967,5.28
197,4,53.17961699999978,3.439422537109344,-9.33987900000011,7.04
199,5,3.173891000000367,4.276090441039987,7.486229999999523,8.8
202,6,38.073545000000195,5.138431350975,-10.587315000000672,10.56
203,7,0.11711300000024494,6.059959829039047,9.295571999999083,12.32
204,8,15.444302999999309,5.96594340222415,13.851268999999775,14.08
205,9,12.649051999999756,6.052506189585156,21.20221700000002,15.84
210,10,45.500130000000354,7.267982677736105,-4.297913000000335,17.6
211,11,15.891921000000366,7.070488697877576,-0.18983400000070105,19.36
213,12,18.391920999999456,6.729088091760262,1.4182449999998425,21.12
215,13,21.06829000000016,6.375288211025255,0.3499549999996816,22.88
217,15,19.62081600000056,7.250531697836142,20.729138999999122,24.64
219,16,21.941251999999622,6.91870171672136,18.7878869999995,26.4
221,17,19.21049099999982,6.535627171926286,19.57739599999968,28.16
223,18,16.177053000000342,6.366084661180873,23.40034299999934,29.92
224,19,22.120261000000028,6.100720682357069,21.28008199999931,31.68
227,20,16.832980999999563,5.91736432720978,24.447100999999748,33.44
230,22,44.28701999999976,5.815467806759154,20.16008099999999,35.2
233,23,43.88209400000051,6.944631943836738,-3.7220130000005156,36.96
236,24,20.676406999999926,6.552867884846937,-4.398420000000442,38.72
238,25,14.033245999999963,6.516235767044006,1.568333999999595,40.48
240,26,16.80379300000004,6.308733969103753,4.764540999999554,42.24
243,27,6.720691999999872,6.744394846034776,18.043848999999682,44
245,28,20.774567999999817,6.371280668157591,17.269280999999864,45.76
249,29,47.97357800000009,7.721424251397747,-10.704297000000224,47.52
251,30,14.16302799999994,7.603645985685391,-4.867325000000164,49.28
253,31,23.65721399999984,7.356993986580044,-8.524539000000004,51.04
255,32,19.603190000000723,6.921982487418746,-8.127729000000727,52.8
256,33,0.0007889999997132691,7.7393092694550925,11.87148199999956,54.56
258,34,10.984784000000218,7.819053440114136,20.886697999999342,56.32
261,35,38.19228699999985,8.467380537606992,2.6944109999994907,58.08
262,36,7.505580000000009,8.719070504006554,15.188830999999482,59.84
263,37,17.528067000000192,8.328624410006132,17.66076399999929,61.6
266,38,22.0793249999997,7.93804319688073,15.581438999999591,63.36
268,39,18.042626000000382,7.564251372075661,17.53881299999921,65.12
270,40,20.210008000000016,7.104611161320933,17.328804999999193,66.88
273,41,43.460181999999804,8.126834338738362,-6.131377000000612,68.64
274,42,0.9612200000001394,8.808830942567205,12.907402999999249,70.4
275,43,11.613139999999476,8.782457758656788,21.294262999999773,72.16
278,44,24.362904999999955,8.506235711240736,16.93135799999982,73.92
279,45,18.83090799999991,8.047664229288195,18.10044999999991,75.68
282,46,17.092835000000377,7.7263830274576595,21.007614999999532,77.44
283,47,17.962671999999657,7.370817088241577,23.044942999999876,79.2
287,48,45.64454999999998,8.512925395226478,-2.5996070000001055,80.96
289,49,11.727562000000034,8.49789493302482,5.67283099999986,82.72
291,50,9.437566000000515,8.626928624710736,16.235264999999345,84.48
292,51,17.84715099999994,8.22229864816632,18.388113999999405,86.24
298,52,49.79417699999976,9.57054104515591,-11.406063000000358,82.72
301,53,20.624440999999933,9.01140979233366,-12.030504000000292,84.48
303,54,13.589128999999957,8.848876117812809,-5.619633000000249,86.24
304,55,3.9282789999997476,9.300303922949524,10.452088000000003,86.24
308,56,46.340863000000354,10.365338865265201,-15.88877500000035,82.72
309,57,6.614534000000276,10.55409681118611,-2.503309000000627,84.48
310,58,16.487774000000172,10.113979885486968,1.008916999999201,82.72
313,60,27.662711999999374,10.252936642644071,13.346204999999827,84.48
314,61,7.447614000000613,10.396652227478778,25.898590999999215,86.24
317,62,43.217797999999675,11.197973838261335,2.6807929999995395,84.48
318,63,4.132384000000457,11.489826473369973,18.548408999999083,84.48
322,64,44.36021199999959,12.294225568784324,-5.811803000000509,82.72
326,66,50.02639699999963,12.15248628323528,-15.838200000000143,80.96
327,67,0.12931399999979476,12.634873765533088,4.032486000000063,82.72
329,68,36.30487500000072,12.864248842687315,-12.272389000000658,80.96
330,69,0.0013039999994362006,13.310151790019393,7.726306999999906,82.72
332,70,15.988777000000482,12.72896874064315,11.737529999999424,82.72
335,71,32.90526500000033,12.739987256852974,-1.1677350000009028,82.72
336,72,6.140428999999131,12.809961240799717,12.691835999999967,84.48
339,73,41.09522900000047,13.327790475749765,-8.403393000000506,84.48
342,74,18.056845999999496,12.616250696015436,-6.460239000000001,84.48
344,75,9.799566000000596,12.465262152514434,3.740194999999403,86.24
347,76,31.912578999999823,12.43071945548227,-8.17238400000042,82.72
349,77,10.24849499999982,12.26326855201464,1.579120999999759,84.48
352,79,22.68015699999978,12.57930445501374,18.898963999999978,84.48
357,80,56.3078400000004,14.062337926575406,-17.40887600000042,82.72
358,81,9.675057999999808,13.828750681164456,-7.083934000000227,84.48
361,82,27.198812000000544,13.414379513591712,-14.28274600000077,80.96
362,83,2.3554489999996804,13.67876523149225,3.361804999999549,82.72
363,84,15.002030999999988,13.136215467023984,8.359773999999561,82.72
364,85,1.833864000000176,13.450585500334974,26.525909999999385,84.48
371,86,63.04170299999987,15.30003034406403,-16.515793000000485,80.96
372,87,1.8504350000002887,15.47812626006001,1.633771999999226,82.72
373,88,17.060998999999356,14.6944309313063,4.57277299999987,82.72
375,89,7.342733000000408,14.567108185599631,17.230039999999462,82.72
377,90,27.819564000000355,14.145386673999676,9.410475999999107,82.72
379,91,12.30818999999974,13.742038131874713,17.102285999999367,84.48
381,92,24.75226500000008,13.180177311132548,12.350020999999288,82.72
384,93,31.556030999999166,13.078668166686711,0.7939900000001217,82.72
386,94,16.284757999999783,12.493454031268804,4.509232000000338,82.72
387,95,3.6321640000005573,12.735602904314469,20.87706799999978,84.48
391,96,54.93109600000025,14.12282122279483,-14.054028000000471,80.96
392,97,0.3581720000001951,14.46775914637014,5.5877999999993335,82.72
394,98,25.00611899999967,13.876406637221987,0.5816809999996622,84.48
395,99,0.0021849999993719393,14.258994659895652,20.57949600000029,86.24
399,100,34.926956000001155,14.300742243652246,5.652539999999135,82.72
401,101,33.29622600000039,14.237959978424005,-7.643686000001253,82.72
402,102,0.48758599999928265,14.567613354772549,11.868727999999464,84.48
418,103,35.86597900000015,14.648761207599273,-3.997251000000688,84.48
433,104,28.9220779999996,14.290843507124293,-12.919329000000289,80.96
437,106,41.95573999999942,13.519899537928989,-14.875068999999712,82.72
438,107,0.24673600000096485,13.909484816808368,4.878194999999323,84.48
442,108,18.532760000000053,13.131844515757841,6.34543499999927,82.72
443,109,8.271303999999873,13.044147733522983,18.074130999999397,82.72
446,110,31.220422000000326,12.930164875177818,6.853708999999071,82.72
451,111,32.29333199999928,12.89036282047916,-5.439623000000211,82.72
453,112,9.246913000000859,12.756783081699158,5.31346399999893,84.48
457,113,27.13847899999928,12.405639076592916,-1.8250150000003487,82.72
460,115,43.790664000000106,11.867203134305866,-5.615679000000455,82.72
462,116,24.12394200000017,11.38324931341176,-9.739621000000625,84.48
463,117,0.15367200000036974,11.912191731323501,10.106706999999005,86.24
468,118,24.641413999999713,11.457768123115764,5.465292999999292,84.48
470,119,27.36505699999907,11.201973677920972,-1.8997639999997773,82.72
471,120,9.730781000000206,11.143676510550899,8.369455000000016,82.72
474,121,29.047421999999642,11.012660603641445,-0.6779669999996258,84.48
479,122,3.9876170000006823,11.325143253413811,15.334415999999692,84.48
482,123,35.945668000000296,11.613926050075467,-0.6112520000006043,84.48
485,124,32.94612899999993,11.697188734445746,-13.557381000000532,82.72
492,125,9.511050999999497,11.621673751042918,-3.06843200000003,82.72
496,126,10.294914000000063,11.501887016602732,6.636653999999908,84.48
497,127,7.241630000000441,11.580417203065034,19.395023999999466,86.24
508,128,26.91361599999982,11.288742127873459,12.481407999999647,84.48
510,129,14.00023499999952,10.958181057381397,18.481173000000126,84.48
514,131,42.81771100000151,10.449401678795153,15.663461999998617,86.24
521,132,24.349910999999338,10.068183511370416,11.31355099999928,84.48
523,133,11.605826999999408,9.963557854409801,19.70772399999987,86.24
527,134,50.78114900000037,11.264657301009212,-11.073425000000498,80.96
532,135,12.794584999999643,11.010954657196159,-3.8680100000001403,82.72
534,136,9.064102000000275,11.006263616121382,7.067887999999584,84.48
535,137,5.231202999999368,11.241421952613836,21.836685000000216,86.24
542,138,39.69243800000004,11.769610455575473,2.1442470000001776,82.72
