Paket,Sequenz,Delta (ms),Jitter (ms),Versatz,Bandbreite
528,0,0,0,0,10.384
529,1,8.849702999999863,0.5531064374999914,-8.849702999999863,20.544
530,2,0.3364110000002256,0.5395629726562561,-9.186114000000089,30.928
531,3,0.1988839999976335,0.5182705368650922,-9.384997999997722,41.328
532,4,0.0007100000002537854,0.48592300331103977,-9.385707999997976,51.728
533,5,0.27568199999950593,0.4727829406040689,-9.661389999997482,62.128
534,6,0.0006920000014360994,0.44327725681640434,-9.662081999998918,72.528
535,7,0.14710399999967194,0.42476642826535854,-9.80918599999859,82.928
536,8,0.0006930000017746352,0.39826183899888457,-9.809879000000365,92.344
547,9,73.40330699999686,0.7856637865616507,-3.213185999997222,100.256
552,10,31.95437700000184,1.2394112374014323,4.832437000000937,105.072
566,11,88.43947099999787,1.6894149725637093,-3.607033999996929,108.704
582,12,81.184494000001,1.6578574117785396,-4.791527999997925,114.624
583,13,0.00145899999915855,1.5543325110423283,-4.792986999997083,118.968
589,14,34.74066000000312,1.7858954791019879,0.46635299999979907,129.352
590,15,0.3693479999965348,1.697361261657897,0.09700500000326429,137.08
591,16,1.0565410000017437,1.6573099953043875,-0.9595359999984794,141.456
609,17,82.17537100000118,1.6896888080979369,-3.1349069999996573,151.84
610,18,0.09429399999862653,1.58997663259173,-3.229200999998284,158.368
611,19,0.5707000000002154,1.5262718430547604,-3.799900999998499,168.752
612,20,0.6996670000007725,1.474609040363886,-4.499567999999272,179.152
613,21,4.128388000000996,1.6404702253412053,-8.627956000000268,189.552
614,22,0.3769979999997304,1.5615032112573632,-9.004953999999998,199.952
615,23,0.23689000000013039,1.4787148855537862,-9.241844000000128,209.28
633,24,73.05390999999872,1.8204258302067544,-2.295753999998851,215.696
634,25,4.061925999998493,1.960519590818738,-6.357679999997345,226.08
635,26,0.2408450000002631,1.8530399288925834,-6.598524999997608,236.48
636,27,0.2570930000001681,1.7532932458368073,-6.855617999997776,246.88
637,28,0.21539900000061607,1.6571748554720453,-7.071016999998392,257.28
638,29,0.0015710000006947666,1.5536996145050859,-7.072587999999087,263.392
647,30,35.3971590000001,1.7442709510985117,-2.469746999999188,273.776
648,31,5.660758999998507,1.9890514541547615,-8.130505999997695,280.328
660,32,78.84082699999999,1.9371840507700895,-6.971332999997685,290.712
661,33,0.07221100000242586,1.8206232350971105,-7.043544000000111,293.976
662,34,0.008093999997072387,1.7073401579033582,-7.051637999997183,302.04
663,35,0.03338600000279257,1.6027180230345728,-7.085023999999976,312.424
664,36,0.005074999997304985,1.5028653340947435,-7.090098999997281,317.512
665,37,0.22622600000249804,1.4230753757139782,-7.316324999999779,327.896
666,38,0.014730999999301275,1.335053852231811,-7.33105599999908,332.072
667,39,0.903612999998586,1.3080887989672343,-8.234668999997666,337.432
680,40,69.5048220000026,1.8822818740316194,2.260508999999729,347.816
681,41,0.06893799999670591,1.7689478819044373,2.191571000003023,353.976
682,42,0.2105970000011439,1.6715509517854814,1.9809740000018792,359.72
687,43,37.841818000000785,1.7019653922988398,4.139156000001094,370.104
688,44,5.724350000000413,1.9533644302801882,-1.5851939999993192,371.256
689,45,0.08035200000085752,1.83630115338773,-1.6655460000001767,373.224
707,46,78.31764199999816,1.826679706301112,0.016812000001664273,383.608
708,47,0.013180000001739245,1.7133359746574013,0.0036319999999250285,386.296
710,48,5.169472999998106,1.9293445387411954,-5.165840999998181,396.68
711,49,0.33515299999999115,1.8297075675698702,-5.5009939999981725,398.672
727,50,80.375043,1.7387910320967537,-5.876036999998178,407.792
728,51,0.006692999999359017,1.6305349050906666,-5.882729999997537,418.176
