#Delta (ms);Jitter (ms);Skew(ms);IP BW (kbps)
0,51;1,12;-11,25;3630,60
0,01;1,05;-11,26;3641,00
0,01;0,98;-11,27;3651,40
0,21;0,93;-11,47;3655,57
0,12;0,88;-11,59;3665,97
0,01;0,83;-11,60;3676,37
0,01;0,78;-11,61;3686,77
0,01;0,73;-11,62;3695,22
0,19;0,70;-11,81;3705,62
0,29;0,67;-12,10;3716,02
0,01;0,63;-12,11;3726,42
0,01;0,59;-12,12;3734,98
62,31;1,03;-4,43;3745,38
0,01;0,97;-4,44;3752,41
3,38;1,12;-7,82;3762,81
0,04;1,05;-7,86;3773,21
0,01;0,99;-7,87;3783,61
0,76;0,97;-8,63;3794,01
0,01;0,91;-8,63;3797,43
1,19;0,93;-9,83;3807,83
1,92;0,99;-11,75;3818,23
0,00;0,93;-11,75;3828,63
0,19;0,88;-11,94;3839,03
0,07;0,83;-12,02;3846,28
0,18;0,79;-12,20;3856,68
0,02;0,74;-12,22;3867,08
0,25;0,71;-12,46;3877,48
0,01;0,67;-12,47;3887,88
0,19;0,64;-12,66;3890,28
0,01;0,60;-12,67;3900,68
0,01;0,56;-12,68;3911,08
0,01;0,53;-12,69;3921,48
0,40;0,52;-13,09;3931,88
0,01;0,49;-13,10;3935,48
51,77;0,97;-4,87;3945,88
0,48;0,94;-5,35;3952,64
0,01;0,88;-5,36;3963,04
1,44;0,92;-6,80;3973,44
0,46;0,89;-7,26;3983,84
3,21;1,03;-10,47;3994,24
0,01;0,97;-10,47;3998,42
0,16;0,92;-10,63;4008,82
0,01;0,86;-10,64;4019,22
0,01;0,81;-10,65;4029,62
0,01;0,76;-10,66;4040,02
0,46;0,74;-11,12;4049,62
0,01;0,69;-11,12;4060,02
0,01;0,65;-11,13;4070,42
0,57;0,65;-11,70;4080,82
0,09;0,61;-11,79;4091,22
1,09;0,64;-12,88;4095,50
0,01;0,60;-12,90;4105,90
0,22;0,58;-13,12;4116,30
0,01;0,54;-13,13;4126,70
0,01;0,51;-13,14;4137,10
0,32;0,50;-13,47;4142,98
63,09;0,90;-6,56;4153,38
0,08;0,85;-6,64;4163,78
0,01;0,80;-6,65;4174,18
0,01;0,75;-6,66;4184,58
0,00;0,70;-6,66;4188,28
2,18;0,79;-8,84;4198,68
0,09;0,75;-8,93;4209,08
0,01;0,70;-8,93;4219,48
0,11;0,67;-9,05;4229,88
0,16;0,63;-9,21;4240,28
0,00;0,59;-9,21;4242,26
0,64;0,60;-9,85;4252,66
0,01;0,56;-9,86;4263,06
1,47;0,62;-11,33;4273,46
0,01;0,58;-11,34;4283,86
0,64;0,58;-11,98;4294,26
0,00;0,55;-11,98;4296,92
0,01;0,51;-11,99;4307,32
0,17;0,49;-12,16;4317,72
0,28;0,48;-12,44;4328,12
0,09;0,45;-12,52;4338,52
0,01;0,43;-12,53;4348,92
0,04;0,40;-12,58;4349,93
0,01;0,38;-12,59;4360,33
0,14;0,36;-12,73;4370,73
0,01;0,34;-12,74;4381,13
0,18;0,33;-12,92;4391,53
0,20;0,32;-13,12;4398,75
64,25;0,66;-7,37;4405,94
0,28;0,64;-7,65;4410,86
0,01;0,60;-7,66;4415,11
0,05;0,56;-7,71;4419,22
0,01;0,53;-7,71;4423,90
62,74;0,67;-10,45;4434,30
2,06;0,75;-12,51;4434,92
1,81;0,82;-14,33;4443,52
2,38;0,92;-16,71;4453,35
0,01;0,86;-16,71;4462,53
0,01;0,81;-16,72;4471,90
60,67;1,34;-7,40;4480,62
0,40;1,28;-7,80;4491,02
0,00;1,20;-7,80;4494,02
0,08;1,13;-7,88;4504,42
0,75;1,11;-8,63;4508,57
0,47;1,07;-9,10;4518,97
0,01;1,00;-9,10;4521,77
0,19;0,95;-9,29;4532,17
0,01;0,89;-9,30;4535,20
60,25;1,45;0,45;4545,54
0,04;1,36;0,41;4555,94
3,33;1,48;-2,92;4563,74
3,45;1,60;-6,37;4574,14
0,15;1,51;-6,52;4584,00
0,01;1,42;-6,53;4594,40
0,16;1,34;-6,68;4601,52
0,01;1,26;-6,69;4611,92
0,01;1,18;-6,70;4618,21
50,83;1,68;2,47;4628,61
0,40;1,60;2,07;4630,11
4,64;1,79;-2,57;4640,51
0,07;1,68;-2,65;4650,91
0,35;1,60;-2,99;4655,43
0,83;1,55;-3,82;4665,83
0,85;1,51;-4,67;4676,23
0,01;1,41;-4,68;4683,06
0,08;1,33;-4,75;4693,46
1,44;1,34;-6,20;4703,86
0,29;1,27;-6,49;4707,40
0,01;1,19;-6,49;4717,80
0,01;1,12;-6,51;4728,20
0,00;1,05;-6,51;4730,02
63,01;1,42;0,48;4740,42
6,35;1,73;-5,87;4741,54
0,47;1,65;-6,34;4751,94
0,01;1,55;-6,35;4762,34
0,41;1,48;-6,76;4765,14
0,01;1,38;-6,77;4775,54
0,21;1,31;-6,99;4785,94
0,37;1,25;-7,35;4790,91
0,01;1,17;-7,36;4801,31
0,09;1,11;-7,45;4811,71
0,01;1,04;-7,46;4814,14
0,56;1,01;-8,02;4824,54
0,90;1,00;-8,92;4834,94
0,00;0,94;-8,92;4835,99
70,27;0,90;-9,19;4846,39
0,38;0,86;-9,56;4847,98
0,01;0,81;-9,57;4858,38
0,01;0,76;-9,58;4868,78
0,01;0,71;-9,59;4879,18
0,36;0,69;-9,96;4884,64
0,01;0,65;-9,96;4895,04
0,06;0,61;-10,02;4905,44
0,01;0,57;-10,03;4915,84
0,02;0,54;-10,05;4922,30
0,01;0,51;-10,06;4932,70
0,32;0,50;-10,38;4943,10
0,09;0,47;-10,47;4953,50
0,05;0,44;-10,53;4956,45
0,50;0,45;-11,03;4966,85
0,07;0,42;-11,09;4977,25
0,36;0,42;-11,45;4987,26
50,63;0,98;-2,08;4987,26
0,20;0,93;-2,29;4990,58
0,65;0,91;-2,94;4994,64
4,43;1,13;-7,37;5005,04
0,01;1,06;-7,38;5015,44
0,30;1,02;-7,68;5019,29
0,01;0,95;-7,69;5029,69
0,02;0,89;-7,71;5040,09
0,01;0,84;-7,72;5050,49
1,62;0,89;-9,34;5056,25
0,17;0,84;-9,51;5066,65
0,12;0,80;-9,63;5066,65
0,01;0,75;-9,64;5077,05
0,20;0,71;-9,83;5078,74
0,14;0,68;-9,97;5089,14
0,01;0,64;-9,98;5099,54
0,07;0,60;-10,05;5109,25
60,33;1,17;-0,38;4948,25
2,53;1,25;-2,91;4952,12
1,18;1,25;-4,10;4962,52
0,05;1,17;-4,15;4972,92
0,64;1,14;-4,79;4983,32
0,14;1,08;-4,93;4985,69
0,01;1,01;-4,94;4996,09
1,94;1,07;-6,88;5006,49
0,10;1,01;-6,98;5016,89
0,00;0,95;-6,99;5021,81
0,19;0,90;-7,18;5032,21
0,53;0,88;-7,71;5014,65
0,01;0,82;-7,71;5024,55
0,15;0,78;-7,87;5014,15
0,61;0,77;-8,48;5024,55
0,76;0,77;-9,24;5010,66
65,70;0,99;-4,93;4819,20
0,01;0,93;-4,94;4823,69
0,18;0,88;-5,12;4834,09
0,97;0,89;-6,09;4844,49
1,78;0,94;-7,87;4816,64
0,08;0,89;-7,95;4825,10
0,01;0,83;-7,96;4835,50
0,47;0,81;-8,43;4835,50
0,00;0,76;-8,43;4845,90
0,01;0,71;-8,43;4845,57
0,26;0,68;-8,69;4845,57
0,10;0,65;-8,79;4855,02
0,01;0,61;-8,80;4865,42
0,31;0,59;-9,11;4849,53
0,06;0,56;-9,17;4859,93
0,10;0,53;-9,27;4859,93
0,01;0,50;-9,28;4870,33
0,00;0,46;-9,28;4864,13
55,52;0,72;-4,80;4773,97
0,01;0,67;-4,81;4777,73
1,11;0,70;-5,91;4788,13
1,10;0,72;-7,01;4785,83
2,30;0,82;-9,31;4667,15
2,79;0,94;-12,09;4676,28
1,98;1,01;-14,07;4686,68
0,13;0,95;-14,21;4697,08
0,08;0,90;-14,29;4707,48
0,01;0,84;-14,30;4717,88
0,02;0,79;-14,32;4718,85
0,01;0,74;-14,33;4729,25
0,35;0,72;-14,68;4739,65
0,02;0,68;-14,70;4750,05
0,00;0,63;-14,70;4755,55
0,15;0,60;-14,85;4765,95
0,04;0,57;-14,89;4776,35
0,28;0,55;-15,17;4786,75
0,00;0,52;-15,17;4792,26
57,10;1,29;-2,27;4785,86
0,50;1,24;-2,77;4790,09
2,55;1,32;-5,32;4800,49
0,01;1,24;-5,33;4810,89
1,20;1,24;-6,53;4780,63
1,02;1,22;-7,55;4787,79
0,38;1,17;-7,93;4798,19
0,31;1,12;-8,24;4808,59
0,55;1,08;-8,79;4818,99
0,01;1,01;-8,79;4828,65
0,16;0,96;-8,95;4839,05
1,54;1,00;-10,49;4849,45
0,01;0,94;-10,50;4859,85
0,12;0,88;-10,62;4863,94
0,01;0,83;-10,63;4874,34
0,01;0,78;-10,64;4884,74
0,01;0,73;-10,65;4895,14
0,01;0,69;-10,65;4898,12
61,90;1,15;-2,55;4783,34
0,15;1,09;-2,70;4787,14
0,23;1,03;-2,92;4797,54
5,10;1,29;-8,02;4759,31
0,47;1,24;-8,49;4769,71
0,01;1,16;-8,50;4778,61
0,16;1,10;-8,66;4775,18
0,21;1,04;-8,87;4785,58
0,22;0,99;-9,09;4795,98
0,00;0,93;-9,09;4805,84
0,01;0,87;-9,10;4816,24
0,18;0,83;-9,28;4826,64
0,15;0,79;-9,43;4837,04
0,01;0,74;-9,43;4841,46
0,01;0,69;-9,44;4851,86
0,31;0,67;-9,75;4862,26
0,01;0,63;-9,76;4872,66
0,00;0,59;-9,77;4877,76
59,81;0,56;-9,57;4701,75
0,01;0,53;-9,58;4704,46
0,00;0,49;-9,59;4714,86
0,47;0,49;-10,06;4725,26
0,01;0,46;-10,07;4735,66
0,01;0,43;-10,07;4743,34
0,17;0,42;-10,24;4753,74
0,01;0,39;-10,25;4764,14
0,27;0,38;-10,52;4759,97
0,17;0,37;-10,69;4727,26
0,44;0,38;-11,13;4717,66
0,22;0,37;-11,35;4717,66
0,01;0,34;-11,36;4728,06
0,00;0,32;-11,36;4732,98
0,06;0,31;-11,43;4743,38
0,32;0,31;-11,75;4743,38
0,05;0,29;-11,80;4743,38
0,00;0,27;-11,81;4747,86
62,30;0,74;-4,11;4706,50
0,01;0,69;-4,11;4709,07
0,01;0,65;-4,12;4719,47
2,85;0,79;-6,97;4684,57
0,67;0,78;-7,64;4694,97
0,51;0,76;-8,15;4700,86
0,11;0,72;-8,26;4711,26
0,20;0,69;-8,47;4721,66
0,01;0,65;-8,48;4732,06
0,01;0,61;-8,48;4738,50
0,01;0,57;-8,49;4748,90
0,35;0,56;-8,84;4759,30
0,01;0,52;-8,85;4759,30
0,03;0,49;-8,88;4762,59
0,42;0,49;-9,30;4729,41
0,01;0,46;-9,31;4739,81
0,01;0,43;-9,32;4750,21
0,29;0,42;-9,61;4752,30
63,90;0,78;-3,51;4606,22
1,60;0,83;-5,11;4608,79
0,07;0,78;-5,19;4619,19
0,41;0,76;-5,60;4629,59
0,01;0,71;-5,61;4639,99
0,25;0,68;-5,87;4647,12
0,73;0,69;-6,60;4657,52
2,17;0,78;-8,77;4642,78
0,57;0,77;-9,35;4653,18
0,01;0,72;-9,35;4661,24
0,07;0,68;-9,42;4671,64
0,01;0,64;-9,43;4682,04
0,05;0,60;-9,49;4692,44
0,00;0,56;-9,49;4695,89
0,14;0,54;-9,63;4706,29
1,21;0,58;-10,84;4716,69
0,01;0,54;-10,85;4727,09
0,00;0,51;-10,86;4730,63
55,01;0,79;-5,86;4741,03
4,40;1,01;-10,26;4743,10
0,13;0,96;-10,39;4753,50
0,01;0,90;-10,40;4763,90
0,27;0,86;-10,67;4763,90
0,01;0,81;-10,67;4769,30
0,01;0,76;-10,68;4779,70
0,01;0,71;-10,69;4790,10
0,01;0,67;-10,71;4800,50
0,01;0,63;-10,71;4806,45
0,14;0,60;-10,85;4816,85
0,46;0,59;-11,32;4827,25
0,01;0,55;-11,32;4837,65
0,00;0,52;-11,33;4839,95
0,01;0,49;-11,34;4850,35
0,13;0,46;-11,47;4860,75
0,02;0,44;-11,49;4871,15
0,00;0,41;-11,49;4872,18
65,22;0,68;-6,71;4844,98
0,00;0,64;-6,71;4847,43
0,09;0,60;-6,80;4857,83
0,38;0,59;-7,18;4868,23
0,01;0,55;-7,19;4878,63
0,01;0,52;-7,20;4889,03
0,00;0,49;-7,21;4892,93
0,21;0,47;-7,42;4894,61
0,86;0,50;-8,28;4881,20
0,17;0,47;-8,45;4891,60
0,01;0,45;-8,46;4902,00
0,09;0,42;-8,54;4904,01
0,44;0,42;-8,98;4910,26
0,08;0,40;-9,06;4920,66
0,01;0,38;-9,07;4931,06
0,01;0,36;-9,08;4940,33
0,27;0,35;-9,35;4924,10
0,01;0,33;-9,36;4934,50
0,01;0,31;-9,37;4944,90
0,01;0,29;-9,37;4953,62
63,73;0,66;-3,10;4935,48
0,00;0,62;-3,10;4937,83
2,28;0,73;-5,38;4948,23
2,34;0,83;-7,73;4904,16
0,10;0,78;-7,83;4914,56
0,01;0,73;-7,84;4924,96
0,00;0,69;-7,84;4927,14
0,03;0,65;-7,87;4937,54
0,01;0,61;-7,88;4947,94
0,34;0,59;-8,22;4958,34
0,29;0,57;-8,51;4968,74
0,00;0,54;-8,51;4969,67
0,00;0,50;-8,51;4980,07
0,01;0,47;-8,51;4990,47
0,00;0,44;-8,52;5000,87
0,49;0,44;-9,01;5008,42
0,12;0,42;-9,13;5018,82
0,01;0,40;-9,14;5029,22
0,01;0,37;-9,15;5039,62
0,03;0,35;-9,18;5046,86
58,15;0,45;-7,34;4945,46
0,00;0,42;-7,34;4947,82
2,71;0,56;-10,05;4958,22
0,01;0,53;-10,06;4968,62
0,10;0,50;-10,16;4979,02
0,91;0,53;-11,07;4989,42
0,00;0,49;-11,07;4991,50
0,06;0,47;-11,13;5001,90
0,04;0,44;-11,17;5012,30
0,01;0,41;-11,18;5022,70
0,46;0,42;-11,64;5033,10
0,00;0,39;-11,64;5034,98
1,04;0,43;-12,69;5045,38
0,09;0,41;-12,78;5055,78
0,33;0,40;-13,11;5066,18
0,00;0,38;-13,11;5074,57
0,21;0,37;-13,32;5084,97
0,07;0,35;-13,39;5095,37
0,04;0,33;-13,43;5105,77
0,13;0,32;-13,56;5113,84
57,93;1,05;-1,48;5113,84
6,10;1,37;-7,58;5042,82
0,04;1,29;-7,63;5053,22
0,37;1,23;-8,00;5063,62
0,01;1,15;-8,01;5074,02
3,38;1,29;-11,39;5062,57
0,00;1,21;-11,40;5064,10
0,01;1,14;-11,40;5074,50
0,08;1,07;-11,49;5084,90
0,01;1,00;-11,50;5095,30
0,04;0,94;-11,54;5105,12
0,30;0,90;-11,84;5115,52
0,01;0,85;-11,85;5125,92
0,17;0,81;-12,02;5136,32
0,13;0,76;-12,15;5143,62
0,12;0,72;-12,28;5154,02
0,01;0,68;-12,29;5164,42
0,01;0,64;-12,30;5174,82
0,14;0,61;-12,44;5181,19
57,54;1,35;0,02;5191,59
2,58;1,42;-2,55;5194,21
2,26;1,48;-4,82;5204,61
5,65;1,74;-10,46;5107,90
0,13;1,64;-10,59;5104,95
0,01;1,53;-10,60;5115,35
0,31;1,46;-10,91;5118,42
0,09;1,37;-10,99;5128,82
0,01;1,29;-11,00;5139,22
0,01;1,21;-11,01;5149,62
0,01;1,13;-11,02;5160,02
0,29;1,08;-11,32;5141,98
0,21;1,03;-11,53;5142,38
0,01;0,96;-11,54;5152,78
0,01;0,90;-11,55;5163,18
0,29;0,86;-11,84;5172,06
0,10;0,82;-11,94;5182,46
0,11;0,77;-12,05;5192,86
0,01;0,72;-12,06;5203,26
0,06;0,68;-12,12;5211,64
47,86;1,40;0,02;5222,04
0,01;1,31;0,01;5224,36
1,40;1,32;-1,39;5234,76
2,95;1,42;-4,34;5221,03
6,54;1,74;-10,88;5106,42
0,48;1,66;-11,36;5116,82
0,18;1,57;-11,54;5118,87
0,25;1,49;-11,79;5129,27
0,01;1,39;-11,80;5139,67
0,03;1,31;-11,83;5150,07
0,08;1,23;-11,91;5160,47
0,00;1,15;-11,91;5161,18
0,31;1,10;-12,22;5171,58
0,05;1,04;-12,27;5181,98
0,30;0,99;-12,57;5192,38
0,00;0,93;-12,57;5200,57
0,05;0,87;-12,62;5210,97
0,01;0,82;-12,63;5221,37
0,24;0,78;-12,87;5231,77
0,01;0,73;-12,88;5238,06
53,30;1,73;3,82;5248,46
5,94;2,00;-2,12;5241,40
3,66;2,10;-5,78;5203,96
0,01;1,97;-5,79;5214,36
0,01;1,85;-5,80;5224,76
0,01;1,73;-5,81;5235,16
0,10;1,63;-5,91;5241,01
0,16;1,54;-6,07;5251,41
0,32;1,46;-6,38;5261,81
0,01;1,37;-6,39;5272,21
0,10;1,29;-6,50;5282,61
0,00;1,21;-6,50;5285,99
1,89;1,25;-8,39;5229,57
0,01;1,18;-8,39;5239,97
0,03;1,10;-8,42;5250,37
0,14;1,04;-8,56;5250,37
1,28;1,06;-9,84;5245,64
0,01;0,99;-9,85;5256,04
0,01;0,93;-9,86;5266,44
0,01;0,87;-9,87;5276,84
0,26;0,84;-10,13;5286,75
68,91;0,85;-9,04;5170,14
0,36;0,82;-9,41;5132,66
0,01;0,77;-9,42;5143,06
0,26;0,74;-9,68;5153,46
0,01;0,69;-9,69;5163,86
0,01;0,65;-9,70;5174,26
0,13;0,62;-9,83;5176,39
0,01;0,58;-9,84;5186,79
0,01;0,54;-9,85;5197,19
0,19;0,52;-10,04;5207,59
0,01;0,49;-10,05;5217,99
0,00;0,46;-10,06;5220,06
0,15;0,44;-10,21;5230,46
0,07;0,42;-10,28;5240,86
0,37;0,41;-10,65;5251,26
0,01;0,39;-10,65;5261,66
0,00;0,36;-10,66;5262,64
0,30;0,36;-10,96;5273,04
0,01;0,34;-10,97;5283,44
0,02;0,32;-10,99;5293,84
0,12;0,31;-11,11;5301,78
54,67;0,62;-5,78;5298,02
0,01;0,58;-5,78;5300,70
0,18;0,56;-5,96;5300,70
0,06;0,53;-6,02;5311,10
0,01;0,49;-6,03;5321,50
0,01;0,46;-6,04;5331,90
0,15;0,44;-6,19;5332,44
0,01;0,42;-6,20;5342,84
0,23;0,41;-6,43;5353,24
0,01;0,38;-6,44;5363,64
0,14;0,37;-6,58;5374,04
0,01;0,34;-6,59;5375,69
0,22;0,34;-6,81;5386,09
0,01;0,32;-6,82;5396,49
0,09;0,30;-6,92;5406,89
0,15;0,29;-7,07;5417,29
0,00;0,27;-7,07;5417,83
0,00;0,26;-7,07;5428,23
0,13;0,25;-7,20;5438,63
0,01;0,23;-7,21;5449,03
0,01;0,22;-7,21;5455,94
64,19;0,57;-1,41;5466,34
2,17;0,67;-3,57;5470,05
0,59;0,66;-4,17;5480,45
0,01;0,62;-4,18;5490,85
0,32;0,60;-4,49;5501,25
1,57;0,66;-6,07;5511,65
0,15;0,63;-6,22;5516,94
0,01;0,59;-6,22;5527,34
0,01;0,56;-6,23;5537,74
0,07;0,53;-6,30;5548,14
0,01;0,49;-6,31;5558,54
0,12;0,47;-6,43;5562,22
0,10;0,45;-6,53;5572,62
0,37;0,44;-6,90;5583,02
0,01;0,42;-6,91;5593,42
0,01;0,39;-6,92;5603,82
0,01;0,37;-6,93;5606,42
0,07;0,35;-6,99;5616,82
0,01;0,33;-7,01;5627,22
0,35;0,33;-7,35;5637,62
0,00;0,31;-7,36;5648,02
0,00;0,29;-7,36;5649,94
58,39;1,00;4,24;5660,34
5,79;1,30;-1,54;5663,03
0,88;1,27;-2,43;5673,43
0,53;1,22;-2,95;5683,83
0,01;1,15;-2,96;5694,23
2,40;1,23;-5,36;5700,94
1,78;1,26;-7,14;5711,34
0,01;1,18;-7,15;5721,74
0,01;1,11;-7,16;5732,14
0,16;1,05;-7,32;5738,70
0,01;0,98;-7,33;5749,10
0,31;0,94;-7,64;5759,50
0,01;0,88;-7,65;5769,90
0,01;0,83;-7,66;5776,72
0,09;0,78;-7,75;5787,12
0,01;0,73;-7,76;5797,52
0,19;0,70;-7,95;5807,92
0,16;0,67;-8,10;5812,38
59,30;0,67;-7,41;5822,78
0,01;0,63;-7,41;5825,86
0,01;0,59;-7,42;5836,26
1,65;0,66;-9,07;5846,66
1,15;0,69;-10,22;5857,06
0,01;0,64;-10,23;5867,46
0,01;0,60;-10,24;5871,83
0,18;0,58;-10,42;5882,23
0,46;0,57;-10,88;5892,63
0,01;0,53;-10,89;5903,03
0,01;0,50;-10,89;5913,43
0,01;0,47;-10,90;5917,36
0,32;0,46;-11,22;5927,76
0,02;0,43;-11,24;5938,16
0,00;0,41;-11,24;5948,56
0,04;0,38;-11,28;5958,96
0,07;0,36;-11,35;5961,10
0,16;0,35;-11,51;5971,50
0,01;0,33;-11,52;5981,90
0,01;0,31;-11,53;5992,30
0,26;0,31;-11,79;6002,14
60,09;0,91;-1,88;6012,54
5,31;1,18;-7,18;6016,22
0,01;1,11;-7,19;6026,62
0,17;1,05;-7,36;6037,02
1,46;1,08;-8,82;6047,42
0,19;1,02;-9,02;6057,82
0,07;0,96;-9,09;6063,12
0,01;0,90;-9,10;6073,52
0,01;0,85;-9,11;6083,92
0,91;0,85;-10,02;6094,32
0,12;0,81;-10,15;6104,72
0,23;0,77;-10,38;6110,27
0,01;0,72;-10,39;6120,67
0,01;0,68;-10,40;6131,07
0,19;0,65;-10,59;6141,47
0,36;0,63;-10,95;6151,87
0,01;0,59;-10,95;6155,08
0,22;0,57;-11,17;6165,48
0,01;0,53;-11,18;6175,88
0,08;0,50;-11,27;6186,28
0,37;0,50;-11,63;6196,68
0,01;0,47;-11,64;6198,96
65,85;0,70;-7,50;6209,36
0,33;0,67;-7,82;6219,76
0,01;0,63;-7,83;6230,16
0,08;0,60;-7,91;6240,56
0,19;0,57;-8,11;6245,94
0,01;0,54;-8,11;6256,34
0,01;0,50;-8,12;6266,74
0,01;0,47;-8,13;6277,14
0,01;0,44;-8,14;6287,54
0,57;0,45;-8,71;6297,94
0,60;0,46;-9,31;6300,70
0,00;0,43;-9,31;6311,10
0,01;0,41;-9,32;6321,50
0,95;0,44;-10,28;6331,90
0,01;0,41;-10,29;6342,30
0,01;0,39;-10,30;6352,70
0,01;0,36;-10,31;6355,65
0,44;0,37;-10,75;6366,05
0,01;0,35;-10,76;6376,45
0,00;0,33;-10,77;6386,85
0,17;0,32;-10,94;6397,25
0,01;0,30;-10,95;6406,87
0,13;0,29;-11,08;6417,27
0,19;0,28;-11,27;6427,67
0,01;0,26;-11,28;6438,07
0,49;0,28;-11,77;6448,47
0,30;0,28;-12,07;6454,09
92,15;0,75;-4,22;6461,52
0,01;0,71;-4,22;6467,47
2,13;0,79;-6,36;6472,87
0,87;0,80;-7,23;6478,66
0,00;0,75;-7,23;6483,57
23,91;1,08;-1,14;6492,16
0,23;1,03;-1,36;6502,44
7,27;1,42;-8,63;6511,86
0,01;1,33;-8,64;6520,37
0,01;1,25;-8,65;6530,21
59,49;1,83;1,86;6539,02
1,69;1,82;0,17;6549,42
0,01;1,71;0,16;6554,46
0,01;1,60;0,15;6564,86
0,84;1,55;-0,69;6571,08
0,16;1,47;-0,85;6581,48
0,23;1,39;-1,08;6586,55
0,08;1,31;-1,16;6596,95
0,68;1,27;-1,84;6601,70
103,22;1,39;-5,06;6609,87
0,09;1,31;-5,15;6620,27
0,28;1,24;-5,43;6630,43
3,22;1,37;-8,65;6640,83
0,83;1,33;-9,48;6650,06
0,10;1,26;-9,58;6660,46
0,01;1,18;-9,59;6667,91
0,15;1,11;-9,74;6678,31
0,01;1,05;-9,75;6686,50
25,25;1,28;-5,00;6696,12
0,01;1,20;-5,01;6706,52
5,22;1,45;-10,24;6716,92
0,22;1,37;-10,46;6722,48
0,01;1,29;-10,47;6732,88
0,26;1,22;-10,72;6743,28
0,01;1,15;-10,73;6749,39
0,05;1,08;-10,78;6759,79
0,01;1,01;-10,79;6770,19
0,04;0,95;-10,84;6774,40
0,01;0,89;-10,85;6784,80
0,01;0,84;-10,86;6795,20
1,35;0,87;-12,21;6799,98
57,95;1,57;-0,16;6810,38
0,76;1,52;-0,92;6811,45
4,40;1,70;-5,32;6821,85
0,49;1,62;-5,81;6832,25
0,01;1,52;-5,82;6842,65
0,07;1,43;-5,89;6848,09
0,07;1,35;-5,96;6858,49
1,47;1,35;-7,43;6868,89
0,01;1,27;-7,44;6879,29
0,01;1,19;-7,44;6885,38
1,32;1,20;-8,77;6895,78
0,01;1,12;-8,78;6906,18
0,01;1,05;-8,79;6916,58
0,17;1,00;-8,96;6919,64
0,01;0,94;-8,97;6930,04
0,79;0,93;-9,76;6940,44
0,01;0,87;-9,76;6950,84
0,00;0,82;-9,77;6953,38
97,05;0,95;-6,82;6963,78
0,00;0,89;-6,82;6964,65
1,22;0,91;-8,04;6975,05
0,15;0,86;-8,19;6985,45
0,43;0,84;-8,63;6994,93
0,01;0,78;-8,63;7005,33
0,04;0,74;-8,67;7015,73
0,24;0,71;-8,92;7025,58
0,01;0,66;-8,93;7035,98
0,22;0,64;-9,14;7046,38
0,00;0,60;-9,15;7054,18
0,01;0,56;-9,15;7064,58
0,01;0,52;-9,16;7074,98
0,17;0,50;-9,33;7080,81
35,98;0,84;-15,30;7091,21
0,00;0,79;-15,31;7092,73
0,01;0,74;-15,32;7103,13
0,16;0,71;-15,48;7113,53
0,33;0,68;-15,81;7123,93
0,40;0,67;-16,21;7129,57
0,01;0,62;-16,22;7139,97
0,21;0,60;-16,42;7150,37
0,01;0,56;-16,43;7160,77
0,20;0,54;-16,63;7166,64
0,02;0,51;-16,65;7177,04
0,00;0,47;-16,65;7187,44
0,35;0,47;-17,00;7197,84
0,00;0,44;-17,00;7201,38
0,00;0,41;-17,01;7211,78
0,01;0,39;-17,02;7222,18
0,17;0,37;-17,19;7232,58
0,09;0,35;-17,28;7235,73
56,11;1,20;-3,39;7246,13
2,63;1,29;-6,02;7247,43
0,11;1,22;-6,13;7257,83
3,28;1,35;-9,42;7268,23
0,01;1,26;-9,43;7278,63
0,06;1,19;-9,49;7283,29
0,01;1,11;-9,49;7293,69
0,04;1,05;-9,54;7304,09
0,11;0,99;-9,65;7314,49
0,01;0,93;-9,66;7318,90
0,14;0,88;-9,80;7329,30
0,01;0,82;-9,81;7339,70
0,39;0,80;-10,19;7350,10
0,00;0,75;-10,20;7351,77
0,01;0,70;-10,21;7362,17
0,01;0,66;-10,22;7372,57
0,34;0,64;-10,56;7382,97
0,18;0,61;-10,73;7384,98
