Paket,Sequenz,Delta (ms),Jitter (ms),Versatz,Bandbreite
406,0,0,0,0,10.384
408,1,0.05312400000002526,0.003320250000001579,-0.05312400000002526,14.192
409,2,0.008900000000721775,0.003668984375046591,-0.06202400000074704,24.576
410,3,0.008524999999281135,0.00397248535156125,-0.07054900000002817,28.72
411,4,0.008245999999417108,0.004239580017052241,-0.07879499999944528,39.104
412,5,0.008300999999846681,0.004493418765976894,-0.08709599999929196,49.504
413,6,0.00851400000101421,0.004744705093166726,-0.09561000000030617,59.904
414,7,0.00828899999942223,0.004966223524807695,-0.1038989999997284,70.304
415,8,0.008479000000079395,0.005185772054512177,-0.1123779999998078,80.704
416,9,0.00865200000043842,0.005402411301132567,-0.12103000000024622,91.104
417,10,0.008409000000028755,0.005590323094813578,-0.12943900000027497,94.032
439,11,79.21139099999891,0.054528990401455736,0.6591700000008132,99.536
440,12,0.018943000000945176,0.052304866001423825,0.640226999999868,100.2
448,13,79.62687499999993,0.07235612437633938,1.0133519999999407,105.072
455,14,40.31998199999907,0.0878327416027602,0.6933700000008685,111.008
456,15,0.018251000001328066,0.08348388275267069,0.6751189999995404,113.464
465,16,79.71321299999909,0.09619032758068585,0.9619060000004538,123.848
466,17,0.012318000000959728,0.09094830710695297,0.9495879999994941,125.392
475,18,80.79796899999928,0.13513710041272367,0.15161900000020978,135.776
476,19,0.009783999999854132,0.12730253163691932,0.14183500000035565,145.776
477,20,0.005043000001023756,0.11966131090967584,0.1367919999993319,156.16
478,21,0.004406999998536776,0.11245791647772965,0.13238500000079512,157.4
486,22,80.58286500000031,0.14185835919789097,-0.4504799999995157,164.776
487,23,0.027337000001352862,0.13470077424810734,-0.4778170000008686,175.16
488,24,0.011919999999008724,0.12702697585753867,-0.4897369999998773,179.096
489,25,0.011082000000897096,0.11978041486649857,-0.5008190000007744,189.48
490,26,0.01047399999879417,0.11294876393726705,-0.5112929999995686,199.704
491,27,0.01019799999994575,0.10652684119118447,-0.5214909999995143,203.664
499,28,39.49336100000073,0.1315338511166897,-0.014852000000246335,214.048
500,29,0.02148999999917578,0.12465611042184507,-0.036341999999422114,224.448
501,30,0.009652000000642147,0.11746835352051989,-0.04599400000006426,234.848
502,31,0.008513000000675675,0.11065864392552963,-0.054507000000739936,245.248
503,32,0.008294999999634456,0.10426091618016117,-0.06280200000037439,255.648
504,33,0.008208999999624211,0.09825767141887762,-0.0710109999999986,266.048
505,34,0.008228000000599422,0.09263081695523523,-0.07923900000059803,276.448
506,35,0.007951999999932013,0.08733839089552878,-0.08719100000053004,279.64
516,36,79.0248730000003,0.1428251789645396,0.887935999999172,290.024
517,37,0.013368999998419895,0.13473416777915714,0.8745670000007522,298.984
518,38,0.006644000000960659,0.12672853229301986,0.8679229999997915,308.824
519,39,0.0054870000003575115,0.11915093652472847,0.862435999999434,319.208
520,40,0.005493999999089283,0.11204737799187602,0.8569420000003447,320.136
529,41,80.63042300000052,0.1444458543674162,0.2265189999998256,330.52
530,42,0.031428000000232714,0.13738223846946723,0.1950909999995929,340.488
531,43,0.014298000000053435,0.12968947356512886,0.18079299999953946,346.904
539,44,39.84306199999992,0.13139250646731343,0.3377309999996214,353.768
540,45,0.015606999999363325,0.12415591231306655,0.3221240000002581,357.632
549,46,79.56883600000037,0.14334391779347652,0.753287999999884,364.192
550,47,0.012136999999711406,0.1351434854313662,0.7411510000001726,374.208
558,48,80.10747099999935,0.1334139550918652,0.6336800000008225,380.48
559,49,0.028323000000455067,0.12684577039865208,0.6053570000003674,390.864
560,50,0.013200999999753549,0.11974297224872092,0.5921560000006139,392.296
565,51,40.16434600000139,0.12253066148326258,0.4278099999992264,399.192
566,52,0.021729999998569838,0.11623062014046928,0.4060800000006566,409.576
567,53,0.009117000001424458,0.10953601888177898,0.3969629999992321,413.656
568,54,0.007807999998476589,0.10317801770157259,0.38915500000075554,419.808
579,55,80.2702500000014,0.11362001659531161,0.11890499999935855,430.192
580,56,0.021923999998762156,0.10788901555802727,0.0969810000005964,433.6
581,57,0.0094070000013744,0.10173388958573647,0.087573999999222,443.984
582,58,0.007765999998810003,0.09586089648655356,0.079808000000412,447.776
583,59,0.007685000000492437,0.09034990295617475,0.07212299999991956,456.76
606,60,80.13397500000065,0.09307647152145421,-0.06185200000072655,368.2
607,61,0.021303999999872758,0.08859069205135536,-0.0831560000005993,378.584
608,62,0.011335999999573687,0.08376227379811901,-0.094492000000173,388.984
609,63,0.008498999999574153,0.07905831918570996,-0.10299099999974715,399.384
610,64,0.00803500000074564,0.0746193617366497,-0.11102600000049279,409.784
611,65,0.008533999998689978,0.07048902662802721,-0.11955999999918276,420.184
612,66,0.008407000001170672,0.06660889996384868,-0.12796700000035344,430.584
