Delta (ms),Jitter (ms),Skew(ms),IP BW (kbps)
"34,01","5,58","-13,97","58,03"
"21,91","5,35","-15,88","58,24"
"7,72","5,79","-3,60","58,29"
"15,36","5,71","1,04","59,39"
"31,19","6,06","-10,15","58,22"
"20,36","5,70","-10,50","58,21"
"9,02","6,03","0,48","59,33"
"19,83","5,66","0,64","59,33"
"27,80","5,80","-7,16","58,14"
"25,70","5,79","-12,86","58,15"
"12,61","5,89","-5,48","58,25"
"22,82","5,70","-8,29","58,19"
"9,69","5,99","2,01","59,36"
"40,58","6,90","-18,57","57,15"
"3,63","7,49","-2,20","58,40"
"20,36","7,05","-2,56","58,45"
"16,42","6,83","1,02","59,60"
"33,56","7,25","-12,54","58,42"
"12,56","7,26","-5,10","59,62"
"20,26","6,82","-5,36","58,60"
"18,58","6,49","-3,94","59,78"
"29,24","6,66","-13,18","58,76"
"4,52","7,21","2,30","59,97"
"29,16","7,33","-6,86","59,23"
"14,65","7,21","-1,51","60,41"
"29,32","7,34","-10,83","59,19"
"9,30","7,55","-0,13","60,37"
"24,54","7,36","-4,66","59,22"
"19,80","6,91","-4,46","59,14"
"27,98","6,98","-12,45","59,10"
"3,98","7,55","3,57","60,22"
"31,79","7,81","-8,21","58,83"
"13,23","7,75","-1,44","58,72"
"22,28","7,40","-3,73","59,84"
"21,33","7,02","-5,05","58,46"
"23,48","6,80","-8,53","58,34"
"10,03","7,00","1,44","58,25"
"23,32","6,77","-1,88","58,12"
"20,36","6,37","-2,24","58,12"
"21,05","6,04","-3,30","58,10"
"14,43","6,01","2,28","58,06"
"25,07","5,95","-2,79","59,29"
"17,45","5,74","-0,24","58,27"
"27,03","5,82","-7,27","58,38"
"12,21","5,94","0,52","59,58"
"19,49","5,60","1,04","59,58"
"21,53","5,35","-0,49","59,58"
"18,53","5,11","0,97","59,61"
"25,53","5,13","-4,56","58,41"
"17,14","4,99","-1,70","58,45"
"14,75","5,01","3,55","59,62"
"25,03","5,01","-1,48","59,55"
"21,51","4,79","-2,99","59,50"
"22,40","4,64","-5,40","58,40"
"13,86","4,73","0,75","59,54"
"23,88","4,68","-3,13","59,54"
"20,94","4,45","-4,07","58,50"
"17,94","4,30","-2,01","58,59"
"25,73","4,39","-7,74","58,66"
"15,10","4,42","-2,84","59,82"
"18,21","4,25","-1,05","59,89"
"25,85","4,35","-6,90","59,79"
"13,69","4,48","-0,59","58,70"
"22,16","4,33","-2,75","59,86"
"20,80","4,11","-3,55","58,50"
"18,36","3,96","-1,91","59,66"
"19,95","3,71","-1,86","58,44"
"19,03","3,54","-0,89","59,57"
"22,26","3,46","-3,15","59,63"
"24,16","3,50","-7,31","58,37"
"16,44","3,51","-3,76","59,51"
"18,52","3,38","-2,28","59,50"
"22,00","3,29","-4,28","58,29"
"21,24","3,17","-5,52","59,50"
"23,62","3,19","-9,14","58,34"
"11,29","3,54","-0,43","59,53"
"20,90","3,37","-1,33","58,35"
"20,40","3,19","-1,73","59,54"
"18,94","3,05","-0,67","59,55"
"20,15","2,87","-0,82","59,55"
"21,05","2,76","-1,87","58,38"
"21,65","2,69","-3,51","59,57"
"22,52","2,68","-6,03","58,54"
"9,70","3,15","4,26","59,67"
"22,65","3,12","1,61","59,62"
"21,85","3,04","-0,24","59,51"
"17,21","3,03","2,55","59,39"
"22,35","2,99","0,19","59,38"
"26,34","3,20","-6,15","58,15"
"17,87","3,13","-4,02","58,06"
"12,53","3,40","3,45","59,22"
"22,04","3,32","1,41","59,24"
"23,62","3,33","-2,21","57,91"
"15,90","3,38","1,89","59,05"
"20,26","3,19","1,62","58,90"
"24,57","3,27","-2,95","57,62"
"19,81","3,08","-2,75","57,50"
"25,91","3,26","-8,67","57,38"
"15,66","3,33","-4,33","58,39"
"13,32","3,54","2,36","58,19"
"27,03","3,75","-4,67","56,83"
"21,38","3,61","-6,05","56,75"
"20,83","3,43","-6,88","56,66"
"12,25","3,70","0,87","57,69"
"27,76","3,96","-6,89","56,47"
"11,25","4,25","1,86","57,69"
"26,88","4,42","-5,02","56,54"
"14,47","4,49","0,51","57,68"
"25,93","4,58","-5,42","57,66"
"22,65","4,46","-8,07","56,57"
"19,59","4,21","-7,66","56,56"
"14,95","4,26","-2,60","57,70"
"22,06","4,12","-4,66","56,46"
"17,15","4,04","-1,80","57,60"
"23,83","4,03","-5,63","56,39"
"22,44","3,93","-8,07","56,34"
"16,00","3,93","-4,08","56,30"
"23,47","3,90","-7,55","56,43"
"15,52","3,94","-3,07","57,66"
"18,87","3,76","-1,93","57,66"
"18,43","3,63","-0,37","57,70"
"19,15","3,45","0,49","57,73"
"15,54","3,52","4,95","57,78"
"27,76","3,78","-2,81","57,84"
"26,13","3,93","-8,94","57,80"
"11,79","4,20","-0,73","56,55"
"11,31","4,48","7,96","57,67"
"35,97","5,20","-8,01","56,47"
"23,69","5,10","-11,70","56,48"
"11,47","5,32","-3,17","56,48"
"12,80","5,43","4,03","57,62"
"32,81","5,89","-8,78","56,44"
"29,26","6,10","-18,04","55,30"
"16,56","5,94","-14,60","56,41"
"5,34","6,48","0,05","56,50"
"26,60","6,49","-6,55","56,72"
"25,92","6,45","-12,46","56,88"
"9,13","6,73","-1,59","56,91"
"19,85","6,32","-1,44","58,17"
"22,61","6,09","-4,05","57,22"
"29,59","6,31","-13,64","57,20"
"17,85","6,05","-11,49","57,16"
"10,96","6,23","-2,45","57,10"
"17,81","5,98","-0,26","57,17"
"37,11","6,68","-17,37","57,22"
"7,56","7,04","-4,93","57,23"
"18,36","6,70","-3,30","57,31"
"18,71","6,36","-2,01","58,41"
"23,68","6,19","-5,69","57,47"
"29,08","6,37","-14,77","57,69"
"8,43","6,70","-3,20","58,90"
"21,19","6,35","-4,39","59,06"
"16,93","6,15","-1,32","59,22"
"30,99","6,45","-12,31","58,21"
"14,67","6,38","-6,98","58,29"
"15,49","6,26","-2,47","58,24"
"20,42","5,90","-2,88","59,36"
"32,46","6,31","-15,34","58,13"
"6,48","6,76","-1,82","59,30"
"17,88","6,47","0,30","59,35"
"18,51","6,16","1,79","59,31"
"35,11","6,72","-13,32","58,19"
"7,26","7,09","-0,58","59,36"
"17,65","6,80","1,77","59,42"
"19,57","6,40","2,20","59,50"
"37,03","7,06","-14,83","58,51"
"11,00","7,19","-5,83","58,62"
"18,76","6,81","-4,59","59,81"
"21,22","6,46","-5,81","58,49"
"24,18","6,32","-9,99","58,44"
"10,04","6,55","-0,03","59,68"
"31,37","6,85","-11,40","58,55"
"11,11","6,98","-2,50","58,54"
"30,84","7,22","-13,34","58,54"
"9,46","7,43","-2,81","59,78"
"18,24","7,07","-1,05","58,61"
"22,86","6,81","-3,91","58,69"
"26,23","6,77","-10,15","58,73"
"14,50","6,69","-4,65","59,93"
"18,12","6,39","-2,76","59,95"
"23,33","6,20","-6,09","58,88"
"28,38","6,34","-14,48","58,84"
"8,00","6,69","-2,48","60,06"
"20,48","6,30","-2,96","60,06"
"17,88","6,04","-0,83","58,96"
"27,62","6,14","-8,45","58,94"
"12,13","6,25","-0,58","60,09"
"19,27","5,90","0,15","60,07"
"22,49","5,69","-2,34","58,81"
"26,13","5,72","-8,47","58,77"
"19,19","5,41","-7,65","59,87"
"14,49","5,42","-2,14","59,84"
"23,77","5,31","-5,91","58,70"
"25,62","5,33","-11,53","58,63"
"18,16","5,12","-9,69","59,77"
"16,55","5,01","-6,24","58,70"
"13,65","5,09","0,11","59,81"
"40,17","6,04","-20,06","58,67"
"0,00","6,91","-0,06","59,74"
"19,16","6,53","0,78","59,78"
"24,72","6,42","-3,94","58,45"
"26,54","6,42","-10,48","58,41"
"17,03","6,21","-7,51","58,38"
"18,92","5,89","-6,43","59,53"
"23,10","5,71","-9,53","58,41"
"10,49","5,95","-0,02","59,54"
"26,58","5,99","-6,60","58,36"
"19,88","5,62","-6,48","59,62"
"17,37","5,44","-3,85","58,56"
"16,30","5,33","-0,15","58,48"
"25,56","5,34","-5,71","58,49"
"23,98","5,26","-9,69","59,68"
"9,34","5,60","0,97","59,66"
"22,03","5,37","-1,06","58,46"
"28,22","5,55","-9,27","58,41"
"15,34","5,49","-4,61","59,53"
"21,76","5,26","-6,38","58,22"
"17,80","5,07","-4,17","59,37"
"21,26","4,83","-5,43","59,30"
"19,04","4,59","-4,47","59,23"
"18,65","4,39","-3,12","57,94"
"22,42","4,26","-5,54","59,05"
"16,53","4,21","-2,08","58,82"
"16,89","4,15","1,03","58,73"
"22,99","4,07","-1,96","58,63"
"26,54","4,23","-8,50","57,26"
"17,72","4,11","-6,21","57,18"
"15,01","4,16","-1,22","58,29"
"22,01","4,03","-3,23","58,18"
"15,95","4,03","0,82","58,10"
"27,22","4,23","-6,39","56,85"
"12,50","4,43","1,10","57,91"
"26,56","4,57","-5,46","56,61"
"16,42","4,50","-1,87","57,67"
"27,16","4,67","-9,03","56,44"
"16,77","4,58","-5,80","57,67"
"20,43","4,32","-6,23","56,46"
"14,05","4,42","-0,28","56,43"
"29,23","4,72","-9,51","56,52"
"10,52","5,02","-0,03","57,59"
"16,98","4,90","2,99","57,57"
"28,57","5,12","-5,58","56,50"
"19,25","4,85","-4,83","57,64"
"15,62","4,82","-0,45","57,65"
